ACOUST_ANA_DESCR,DESCRIPTION,COMMENTS,frequency,ArticleID,StudyID,Title,Authors,Year_publication,Article,SAMPLE_SIZE_SZ,SAMPLE_SIZE_HC,PITCH_F0_HC_M,PITCH_F0_HC_SD,PITCH_F0_SZ_M,PITCH_F0_SZ_SD,PITCH_F0SD_HC_M,PITCH_F0SD_HC_SD,PITCH_F0SD_SZ_M,PITCH_F0SD_SZ_SD,pitch_f0_variability
"Following the guidelines of Alpert et al,2 pauses with
a threshold greater than 200 milliseconds were marked with
vertical cursors starting from the offset of detectable spectral
energy from the word preceding the pause to the onset of
visible spectral energy of the word following the pause. This
procedure was automated through the use of the scripting
macros in Praat and set to mark all segments of pause that met
intensity (eg, set at the dB level + 6 of a silent feature on the
recording, usually a break between tasks) and temporal criteria
(eg, greater than 200 milliseconds; Fig.1). In this way, for each
task, the durations of all pauses greater than 200 milliseconds
were measured, and then the number of pauses, average pause
duration, standard deviation of pause duration, total cumulative
pause time, and percentage of the total speaking time that
was pause were all calculated","n.of pauses, (>200ms), average pause dur, sd of pause duration, total cumulative pause time, % of total speaking time","4 different pauses measures, which do we report?",NA,9,10,Bradyphrenia and bradykinesia both contribute to altered speech in schizophrenia: a quantitative acoustic study.,"Cannizzaro, M. S., Cohen, H., Rappard, F., & Snyder, P. J.",2005,Cannizzaro et al. (2005)_1,13,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Following the guidelines of Alpert et al,2 pauses with
a threshold greater than 200 milliseconds were marked with
vertical cursors starting from the offset of detectable spectral
energy from the word preceding the pause to the onset of
visible spectral energy of the word following the pause. This
procedure was automated through the use of the scripting
macros in Praat and set to mark all segments of pause that met
intensity (eg, set at the dB level + 6 of a silent feature on the
recording, usually a break between tasks) and temporal criteria
(eg, greater than 200 milliseconds; Fig.1). In this way, for each
task, the durations of all pauses greater than 200 milliseconds
were measured, and then the number of pauses, average pause
duration, standard deviation of pause duration, total cumulative
pause time, and percentage of the total speaking time that
was pause were all calculated","n.of pauses, (>200ms), average pause dur, sd of pause duration, total cumulative pause time, % of total speaking time","4 different pauses measures, which do we report?",NA,9,10,Bradyphrenia and bradykinesia both contribute to altered speech in schizophrenia: a quantitative acoustic study.,"Cannizzaro, M. S., Cohen, H., Rappard, F., & Snyder, P. J.",2005,Cannizzaro et al. (2005)_2,13,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Voice F0 measurements were made
with Praat Software (P. Boersma & D. Weenink, www.praat.org) on
recordings of the vowel “a” sampled to exclude transients and adjusted
to 300 ms in duration.","F0 (ns,mean?) adjusted 300ms in duration",NA,hz,10,11,"Higher fundamental voice frequency is
related to extrapyramidal symptoms
in schizophrenia","Graux, J., Courtine, J. B., Bruneau, N., Camus, V., & El-Hage, W.",2015,Graux et al. (2011),26,26,112,14,123,19,NA,NA,NA,NA,NA
"Their speech was analyzed using a
system called Automatic Statistical Summary of Elementary
Speech Structures (ASSESS), which incorporates
automatic analysis routines and provides detailed
information on pitch, intensity/loudness and duration
(speaking rate and pausing) (Cowie et al., 1995).ASSESS summarizes properties of these parameters
using 275 statistics including primarily measures of
midpoint and spread. These describe broadly how
pitch and intensity behave over time as well as detecting
more subtle nuances of prosodic expression.","pitch, intensity/loudness and duration, speaking rate and pausing",NA,NA,11,12,Can patients with chronic schizophrenia express emotion? A speech analysis.,"McGilloway, S., Cooper, S. J., & Douglas-Cowie, E.",2003,McGilloway et al. (2003),72,40,NA,NA,NA,NA,NA,NA,NA,NA,NA
"The following
measures, described in Alpert et al. (1993), were collected: a) inflection,
composed of pitch and pitch variance; b) speech rate; c) pause, consisting of inturn
gaps; d) dyad, consisting of interaction variables such as turn taking and
switching pauses; e) utterance, consisting of clause length variables; and f)
emphasis, consisting of variations in syllable loudness. Voice data were aggregated
across the three emotional monologues and structured interview. Measures were
converted to z‐scores to facilitate group comparisons.","inflection( pitch and ptich variance), speech rate, pause, emphasis","Divisi in due gruppi (flat vs non flat, n=12)  e acoustic measures reported only by groups. Correlation reported for the all group.",NA,12,13,Constricted expressiveness and psychophysiological reactivity in schizophrenia.,"Sison, C. E., Alpert, M., Fudge, R., & Stern, R. M. (",1996,Sison et al. (1996),24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"We measured blunt affect in terms of inflection,
which was computed as the standard deviation of the fundamental frequency.1 Alogia was measured as speech
rate in words per second. This variable was computed as
the total word count divided by the total length of the
speech sample with the interviewer’s voice removed. Due
to variability in recording conditions across subjects we
were unable to measure vocal emphasis, a component of
blunt affect","sd F0, speech rate (tot word/tot length)",NA,NA,13,14,Computerized measurement of negative symptoms in schizophrenia.,"Cohen, A. S., Alpert, M., Nienow, T. M., Dinzeo, T. J., & Docherty, N. M.",2008,Cohen et al. (2008),60,19,NA,NA,NA,NA,21.56,6.78,17.642666666666667,7.277333333333334,SD of F0 IN hz
"We examined
the following variables in this study: word count — number of words
expressed during the speech sample, pause number — total count of
all pauses in the speech sample, pause length — mean length of pauses
(in milliseconds), utterance length — mean length of utterances (in
milliseconds), local intonation — average standard deviation of fundamental
frequency values computed separately for each utterance, global
intonation — standard deviation of local intonation values across the
speech sample, local emphasis — average standard deviation of intensity
(i.e., volume) values, computed separately for each utterance, and global
emphasis—standard deviation of local intensity values across the speech
sample. All fundamental frequency values were log-transformed to
control for their nonlinear distribution.","word count, pause number, pause legth, utterance length, local intonation, global intonation, global emphasis",NA,NA,14,15,The normalities and abnormalities associated with speech in psychometrically-defined schizotypy.,"Cohen, A. S., Auster, T. L., McGovern, J. E., & MacAulay, R. K",2014,Cohen et al. (2014),39,37,NA,NA,NA,NA,2.874332905995645,0.05473897617841006,3.354640589129715,0.193345457797925,"global intonation=standard deviation of local intonation values across the speech sample (local intonation = average standard deviation of fundamental
frequency values computed separately for each utterance)"
"FOUR VARIABLES: inflection,
computed as the variability in fundamental frequency; emphasis,
computed as the variability in volume; and intensity, defined as
the mean volume of speech. We also measured linguistic expression
in terms of speech production, defined as the percentage of
frames that were voiced during the speaking task. All fundamental
frequency values were converted to semitones to control for their
nonlinear distribution, which has the added benefit of controlling
for differences in fundamental frequency between men and
women.
We used entropy statistics to understand variability in frequency
and volume (i.e., inflection and emphasis) because they provide a
more sensitive measure of signal variability than variance and
standard deviation scores (Lai, Mayer-Kress, & Newell, 2006). As
in our prior research, entropy scores reported here reflect a percentage
of maximal entropy to correct for individual differences in
amount of speech production. Increasing entropy scores reflect
increasing variability in signal. For further discussion of our use of
entropy statistics for understanding vocal prosody, see Cohen and
Hong (in press) and Cohen, Iglesias, and Minor (2009).","inflection as var in f0 (sd?), emphasis as variability in volume, intensity as mean volume of speech, and speech production as % of frames voice during task

",NA,NA,15,16,Towards a cognitive resource limitations model of diminished expression in schizotypy.,"Cohen, A. S., Morrison, S. C., Brown, L. A., & Minor, K. S.",2011,Cohen et al. (2011a),38,34,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Summary variables, selected based on recent
studies (Cohen et al., 2016; Cohen et al., 2013), included: mean pause time (i.e., average voiceless epoch bounded by speech N150 ms in length), intonation (i.e., standard deviation of the fundamental frequency
values computedwithin a voiced epoch [i.e., an “utterance”], then averaged
across utterances), and emphasis (i.e., standard deviation of the
volume computed within an utterance, then averaged across utterances),
as were neutral, happy and negative (sum of sad, anger, scared)
facial expressions. Extreme values were “winsorized” (i.e., replaced
with values 3.5 SD from the overall means).","mean pause time, intonation  and emphasis",NA,NA,16,17,"The effects of oxytocin and galantamine on
objectively-defined vocal and facial expression: Data from the CIDAR study.
","Cohen, A. S., Mitchell, K. R., Strauss, G. P., Blanchard, J. J., Buchanan, R. W., Kelly, D. L., ... & Carpenter, W. T.",2017,Cohen et al. (2017),40,NA,NA,NA,NA,NA,NA,NA,2.42,1.1133333333333333,"standard deviation of the fundamental frequency
values computedwithin a voiced epoch [i.e., an “utterance”], then averaged
across utterances"
"We computed (a)
vocal output—defined as the total percentage of frames that were voiced,
(b) fundamental frequency—defined as the lowest harmonic tone in semitones,
(c) inflection—defined as the variability in fundamental frequency
using information entropy (Shannon, 1948—see below), and (d) intensity—
defined as the volume in decibels expressed during voiced fames.","Vocal output, f0, inflection and intensity",NA,semitones,17,18,"Understanding constricted affect in schizotypy through computerized prosodic analysis.25(4), 478-491.","Cohen, A. S., & Hong, S. L.",2011,Cohen et al. (2011b),89,26,56.92,7.89,58.87,7.7,NA,NA,NA,NA,NA
"The variables examined in this study included the following: average
pause time (Pause x̄ ) — computed as the average millisecond pause
between utterances; inflection — computed as the standard deviation
of the fundamental frequency, computed from the standard deviation
scoreswithin each utterance; intensity—computed as themean volume
across utterances, and emphasis — computed as the standard deviation
of the volume, computed from the standard deviation scores within
each utterance. The inflection, intensity
and emphasis variables were converted to z-score format and
summed to reduce the overall number of analyses.","average pause time, inflection, intensity, emphasis",NA,NA,18,19,Psychiatric symptom versus neurocognitive correlates of diminished expressivity in schizophrenia and mood disorders.,"Cohen, A. S., Kim, Y., & Najolia, G. M",2013,Cohen et al. (2013),26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Four measures were computed for this study, including:
average pause length (Pause  x ) — computed as the average time in
seconds between utterances (defined as speech bounded by silence in excess
of 50 ms), number of utterances (UtteranceN) — computed as the
number of utterances within a speech sample, inflection (F0sd of sd) —
computed as the standard deviation of the standard deviation values of
fundamental frequency determined within each individual utterance,
and emphasis (dBsd of sd) — computed as the standard deviation of standard
deviation values of intensity determined within each individual utterance","average pause time, number of utterance, inflection (f0 sd), , emphasis (sd of intensity)",NA,NA,19,20,On the boundaries of blunt affect/alogia across severe mental illness: implications for Research Domain Criteria.,"Cohen, A. S., Najolia, G. M., Kim, Y., & Dinzeo, T. J.",2012,Cohen et al. (2012),26,NA,NA,NA,NA,NA,NA,NA,0.2116666666666667,0.11583333333333334,standard deviation of the standard deviation of the F0 (multiplied by a factor of 100)
NR,"Pause duration, response latency",NA,NA,20,21,Speech fluency and schizophrenic negative signs.,"Alpert, M., Kotsaftis, A., & Pouget, E. R.",1997,Alpert et al. (1997),19,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
"The audio recordings were analyzed with a
hybrid analog-digital program  VOXCOM, Alpert
et al., 1986.. In the analog stage, the signal from
the patient’s track is full-wave rectified and demodulated
to produce an amplitude waveform of
speech and silence. In a parallel channel, a frequency
to voltage converter produces a signal
that is proportional to the fundamental frequency
of the patient’s voice. The amplitude signal is
sampled 100 timesrs. Through software logic, the
sound pulses of syllables are located, and their
duration and peak amplitude are noted. At the
point of maximal amplitude, the fundamental frequency
for that syllable is noted. The duration of
all pauses )0.2 s are collected. The duration of a
run of syllables not interrupted by pauses )0.2 s
is measured as an utterance. The duration of
switching pauses from the end of an interviewer’s
turn to the beginning of the patient’s response is
saved as the patient’s response latency and, similarly,
for the interviewer’s latency.
Duration  pauses and utterances. is log-transformed
for averaging and reported in s. Inflection
is measured in semitones around the patient’s
average fundamental frequency and reported in
Hertz. Emphasis is measured in decibels referenced
to a calibration signal that is recorded on
each tape at the time of the interview  see Alpert
et al., 1986, 1993.. In other work  Alpert et al.,
1999. we have found that these transformations
produce Gaussian distributions. Percent talk tim is calculated as the ratio of the patient’s utterance
time to the patient’s floor time. Emphasis is
calculated as the variance of the voice level peaks
in the amplitude waveform. Inflection is calculated
as the variance of the fundamental frequency
measures noted for each syllable. The
variance is used as a measure of dispersion around
the mean since variances are additive and, in a
Gaussian distribution, the variance is not correlated
with the mean",NA,Non ho capito bene se l'emphasis coincide con l'intensità,NA,21,22,Prosody and lexical accuracy in flat affect schizophrenia.,"Alpert, M., Rosenberg, S. D., Pouget, E. R., & Shaw, R. J.",2000,Alpert et al. (2000),46,20,NA,NA,NA,NA,0.84,0.502,0.5243478260869565,0.2496086956521739,semitones
"The patients were informed that they were taking a test of
reading ability. They read from a typed copy, and were not
permitted to scan the paragraph. The performance was recorded
on audio tape with the patient, insofar as possible, a constant
distance from the microphone. The gain of the tape recorder was
kept constant from patient to patient. The recording was done in a
sound-buffered recording room. Following the reading, patients
were given the vocabulary scale of the Wechsler Adult Intelligence
Scale (WAIS)."" Three patients (two from the nonflat group) were
dropped from the analysis due to reading deficiencies and scores
below our vocabulary test criterion (scaled score of less than 8).
The recorded signal was written out on a light beam oscillo¬
graph. The experimental nouns were located in the write-out, and
the log of their momentary peak amplitude measured. Figure 1
contains comparable sections from the write-out of two nonflats
(top) and two flat (bottom) patients.",log of voice amplitude,NA,NA,22,23,Imagery mediation of vocal emphasis in flat affect.,"Alpert, M., & Anderson, L. T.",1977,Alpert et al. (1977),30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A computational linguist used WaveSurfer 1.8.5 to create from each
speech sample a file of formant values (F0, F1, F2,where F0 is the fundamental
frequency or the pitch atwhich the vocal folds are vibrating, and
F1 and F2 are resonance bands indicatingmoment-by-moment shape of
the oral cavity). These values were sampled every 10 ms, coding F0 as
0 if vocal folds were not vibrating based on spectral analysis. Using
a computer program written locally in Microsoft C#, formant data
were processed to compute summary measures for all 10-millisecond
samples with nonzero F0. Mean log10(F0), indicating average vocal
pitch on a logarithmic scale (which is how humans perceive pitch in
speech intonation), was not expected to correlate with negative symptoms.
SDN of log10(F0) indicated pitch variability, SDN(F1) variability of
tongue height or mouth opening, and SDN(F2) variability of tongue front-to-back position","Mean log10 of F0, SD of  log10 of (F0), SD of (F1), ,SD of (F2)",NA,NA,23,24,Phonetic measures of reduced tongue movement correlate with negative symptom severity in hospitalized patients with first-episode schizophrenia-spectrum disorders.,"Covington, M. A., He, C., Brown, C., Naçi, L., McClain, J. T., Fjordbak, B. S., .",2012,Covington et al. (2012),25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"He was
instructed to identify and measure all pauses within each speech
sample. Pauses durings pontaneous speech do not usually last for
more than 3s.Once the duration of silence is very long,itisques-
tionable whetheritreallyrepresentsapauseinspeech(6). Very
briefpauses(<250 ms)wereconsideredtobethegapsinphona-
tionassociatedwithadjustmentofthepositionofarticulation(6).
Wethereforeoperationallydefinedpausesastheabsenceofany
verbaloutputfor250–3000ms.Theyweresubdividedaccordingto
twodifferentclassificationschemes",pauses,NA,NA,24,25,Frequency and neural correlates of pauses in patients with formal thought disorder,Matsumoto et al.,2013,Matsumoto et al. (2013),6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"The voice recordings were analyzed using a microcomputer-based
system (Voxcom; Alpert, Merewether, Homel, Martz, & Lomask, 1986).
The software detects voice signals and locates peaks, the acoustic equivalent
of syllables and for each peak measures the amplitude (loudness),
the fundamental frequency (pitch), and the duration. Utterances are
denned as a run of successive peaks above a threshold, without a pause
of 200 ms. Pauses of greater than 200 ms are also measured. This article
focuses on the program's output of temporal information. Measures of
conversational turn taking between the interviewer and subject, including
switching pauses, are provided by an adaptation of Weimar software
(Welkowitz, Bond, & Zelano, 1990). Voxcom includes a graphics facility,
which provides a plot of the amplitude waveform of the rectified,
demodulated speech signal, essentially the syllable waveform, against
time (see Figure 1). In addition, a full verbal transcript was made of
each recording, noting the occurrence of pauses, including filled pauses.
The ability to compare the transcript with the syllable waveform (as in Figure 1) while simultaneously listening to the recording, facilitates
the merging of the verbal text with the vocal acoustic variables. In previous
work we defined internal pauses as silent periods of at least 200
ms. These criteria were designed to identify just-noticeable gaps in
sound production in an attempt to identify a psychologically meaningful
speech marker. For this study, however, we found that even with the
aid of the typescripts and graphic displays our raters could not reliably
locate very brief (200 ms) pauses, and we used a 1-s cutoff.",pauses and word rate,NA,NA,25,26,The syntactic role of pauses in the speech of schizophrenic patients with alogia.,"Alpert, M., Clark, A., & Pouget, E. R.",1994,Alpert et al. (1994),17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,26,27,"A multimethod, multichannel assessment of affective flattening in schizophrenia.","Kring, A. M., Alpert, M., Neale, J. M., & Harvey, P. D. (1994).",1994,Kring et al. (1994),23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
